X,Y,T
0.027261,51.5315,0.0
-0.33598,51.5947,0.0
-0.18978,51.4964,0.0
-0.33598,51.5947,0.0
0.039246,51.3727,0.0
0.050093,51.4639,0.0
-0.33598,51.5947,0.0
-0.07308,51.4659,0.0
-0.18978,51.4964,0.0
-0.27568,51.5644,0.0
-0.27568,51.5644,0.0
-0.27568,51.5644,0.0
-0.27568,51.5644,0.0
0.050093,51.4639,0.0
-0.20021,51.4524,0.0
-0.07308,51.4659,0.0
0.050093,51.4639,0.0
-0.07308,51.4659,0.0
-0.33598,51.5947,0.0
-0.18978,51.4964,0.0
-0.33598,51.5947,0.0
-0.20021,51.4524,0.0
0.039246,51.3727,0.0
-0.08144,51.6489,0.0
-0.07308,51.4659,0.0
-0.08144,51.6489,0.0
-0.20021,51.4524,0.0
-0.07308,51.4659,0.0
-0.18978,51.4964,0.0
-0.33598,51.5947,0.0
0.039246,51.3727,0.0
-0.33598,51.5947,0.0
-0.33598,51.5947,0.0
-0.08144,51.6489,0.0
0.039246,51.3727,0.0
-0.18978,51.4964,0.0
-0.18978,51.4964,0.0
-0.08144,51.6489,0.0
0.050093,51.4639,0.0
-0.07308,51.4659,0.0
-0.27568,51.5644,0.0
-0.07308,51.4659,0.0
-0.27568,51.5644,0.0
-0.07308,51.4659,0.0
-0.0188,51.5946,0.0
-0.07308,51.4659,0.0
0.050093,51.4639,0.0
-0.1067,51.5877,0.0
-0.0188,51.5946,0.0
-0.15295,51.5122,0.0
-0.11385,51.4645,0.0
-0.11385,51.4645,0.0
-0.27568,51.5644,0.0
-0.11385,51.4645,0.0
-0.11385,51.4645,0.0
-0.27568,51.5644,0.0
-0.27568,51.5644,0.0
0.050093,51.4639,0.0
-0.11385,51.4645,0.0
-0.0188,51.5946,0.0
-0.10989,51.5455,0.0
-0.15295,51.5122,0.0
-0.07761,51.366,0.0
-0.27568,51.5644,0.0
-0.15295,51.5122,0.0
-0.11385,51.4645,0.0
0.050093,51.4639,0.0
-0.27568,51.5644,0.0
-0.15295,51.5122,0.0
-0.07308,51.4659,0.0
0.050093,51.4639,0.0
-0.27568,51.5644,0.0
-0.0188,51.5946,0.0
-0.07308,51.4659,0.0
-0.11385,51.4645,0.0
-0.1067,51.5877,0.0
-0.11385,51.4645,0.0
-0.27568,51.5644,0.0
-0.07308,51.4659,0.0
-0.07308,51.4659,0.0
-0.27568,51.5644,0.0
-0.11385,51.4645,0.0
-0.08144,51.6489,0.0
-0.08144,51.6489,0.0
-0.07761,51.366,0.0
-0.37855,51.4624,0.0
-0.44179,51.5366,0.0
-0.44179,51.5366,0.0
-0.07308,51.4659,0.0
-0.07761,51.366,0.0
-0.37855,51.4624,0.0
-0.3141,51.5244,0.0
-0.3141,51.5244,0.0
-0.07761,51.366,0.0
-0.07308,51.4659,0.0
-0.07308,51.4659,0.0
-0.37855,51.4624,0.0
-0.07761,51.366,0.0
-0.3141,51.5244,0.0
-0.3141,51.5244,0.0
-0.3141,51.5244,0.0
-0.3141,51.5244,0.0
-0.44179,51.5366,0.0
-0.3141,51.5244,0.0
-0.07761,51.366,0.0
-0.07761,51.366,0.0
-0.44179,51.5366,0.0
