X,Y,T
-10.573,8.2789,0
-10.573,8.2789,1
-10.573,8.2789,2
-10.573,8.2789,3
-13.2333,8.4833,4
-10.573,8.2789,5
-13.2333,8.4833,5
-13.2333,8.4833,6
-11.7383,7.9647,6
-10.573,8.2789,6
-11.75,9.05,6
-10.573,8.2789,7
-11.1903,7.8769,7
-11.1903,7.8769,8
-10.573,8.2789,8
-10.573,8.2789,9
-13.2333,8.4833,9
-10.573,8.2789,10
-12.9182,9.125,10
-12.7833,8.7667,11
-10.573,8.2789,11
-10.573,8.2789,12
-10.573,8.2789,13
-12.7833,8.7667,14
-10.573,8.2789,15
-10.573,8.2789,16
-10.573,8.2789,17
-10.573,8.2789,18
-10.573,8.2789,19
-10.573,8.2789,20
-10.573,8.2789,21
-10.573,8.2789,22
-10.573,8.2789,23
-11.1903,7.8769,23
-11.1903,7.8769,24
-10.573,8.2789,24
-11.1903,7.8769,25
-10.573,8.2789,25
-10.573,8.2789,26
-10.573,8.2789,27
-11.1903,7.8769,27
-11.1903,7.8769,28
-10.573,8.2789,28
-11.7383,7.9647,28
-11.1903,7.8769,29
-10.573,8.2789,29
-10.573,8.2789,30
-11.1903,7.8769,30
-11.1903,7.8769,31
-10.573,8.2789,31
-11.1903,7.8769,32
-10.573,8.2789,32
-10.573,8.2789,33
-11.1903,7.8769,33
-10.573,8.2789,34
-11.1903,7.8769,34
-11.1903,7.8769,35
-10.573,8.2789,35
-13.2333,8.4833,35
-11.1903,7.8769,36
-10.573,8.2789,36
-11.0224,8.7055,37
-10.573,8.2789,37
-11.1903,7.8769,37
-11.1903,7.8769,38
-10.573,8.2789,38
-11.7383,7.9647,38
-11.0224,8.7055,38
-11.1903,7.8769,39
-10.573,8.2789,39
-10.573,8.2789,40
-11.1903,7.8769,40
-10.573,8.2789,41
-11.1903,7.8769,41
-11.0224,8.7055,41
-11.1903,7.8769,42
-10.573,8.2789,42
-11.7383,7.9647,42
-12.7833,8.7667,42
-12.4317,8.159,42
-11.1903,7.8769,43
-10.573,8.2789,43
-13.2333,8.4833,44
-10.573,8.2789,44
-11.7383,7.9647,44
-11.1903,7.8769,44
-11.1903,7.8769,45
-10.573,8.2789,45
-11.7383,7.9647,45
-10.573,8.2789,46
-12.7833,8.7667,46
-11.1903,7.8769,46
-11.1903,7.8769,47
-10.573,8.2789,47
-11.0224,8.7055,48
-10.573,8.2789,48
-13.2333,8.4833,48
-13.2333,8.4833,49
-10.573,8.2789,49
-11.1903,7.8769,49
-11.1903,7.8769,50
-10.573,8.2789,50
-12.505,7.5264,51
-10.573,8.2789,51
-11.1903,7.8769,51
-10.573,8.2789,52
-11.1903,7.8769,52
-11.7383,7.9647,53
-10.573,8.2789,53
-11.1903,7.8769,53
-11.1903,7.8769,54
-10.573,8.2789,54
-11.1903,7.8769,55
-11.0224,8.7055,55
-10.573,8.2789,55
-12.7833,8.7667,56
-11.7383,7.9647,56
-10.573,8.2789,56
-11.1903,7.8769,56
-11.7383,7.9647,57
-11.1903,7.8769,57
-13.2333,8.4833,57
-11.1903,7.8769,58
-13.2333,8.4833,58
-11.7383,7.9647,58
-12.4317,8.159,58
-10.573,8.2789,59
-11.1903,7.8769,59
-11.75,9.05,60
-11.1903,7.8769,60
-11.7383,7.9647,60
-13.2333,8.4,60
-12.7833,8.7667,60
-11.1903,7.8769,61
-11.75,9.05,61
-10.573,8.2789,61
-10.573,8.2789,62
-12.7833,8.7667,62
-11.1903,7.8769,62
-11.8,8.7,62
-11.1903,7.8769,63
-11.0224,8.7055,63
-11.7383,7.9647,63
-10.573,8.2789,63
-11.1903,7.8769,64
-11.7383,7.9647,64
-10.573,8.2789,64
-11.0224,8.7055,65
-10.573,8.2789,65
-11.1903,7.8769,65
-12.7833,8.7667,65
-11.7383,7.9647,65
-11.1903,7.8769,66
-11.7383,7.9647,66
-12.7833,8.7667,66
-11.1903,7.8769,67
-12.4317,8.159,67
-10.573,8.2789,67
-12.4317,8.159,68
-11.75,9.05,68
-12.7833,8.7667,68
-11.7383,7.9647,68
-11.1903,7.8769,68
-11.7181,7.3506,68
-11.7181,7.3506,69
-11.1903,7.8769,69
-11.7383,7.9647,69
-13.2333,8.4833,70
-10.573,8.2789,70
-12.7833,8.7667,70
-11.1903,7.8769,70
-12.4317,8.159,70
-11.7383,7.9647,70
-11.1903,7.8769,71
-11.7383,7.9647,71
-13.2333,8.4833,71
-12.7833,8.7667,71
-11.7383,7.9647,72
-12.7833,8.7667,72
-11.1903,7.8769,72
-11.7181,7.3506,72
-11.1903,7.8769,73
-12.4317,8.159,73
-13.2333,8.4,73
-13.2333,8.4833,73
-10.573,8.2789,73
-11.7383,7.9647,74
-11.1903,7.8769,74
-12.7833,8.7667,74
-13.2333,8.4833,74
-11.1903,7.8769,75
-11.7383,7.9647,75
-11.75,9.05,75
-13.2333,8.4833,76
-11.1903,7.8769,76
-11.75,9.05,76
-11.7383,7.9647,76
-11.8,8.7,76
-13.2333,8.4833,77
-11.1903,7.8769,77
-11.1903,7.8769,78
-12.7833,8.7667,78
-11.75,9.05,78
-12.4317,8.159,79
-13.2333,8.4,79
-11.1903,7.8769,79
-12.7833,8.7667,79
-11.75,9.05,80
-11.1903,7.8769,80
-13.2333,8.4833,81
-11.1903,7.8769,81
-12.7833,8.7667,81
-11.1903,7.8769,82
-13.2333,8.4,83
-11.1903,7.8769,83
-12.7833,8.7667,83
-13.2333,8.4833,83
-11.1903,7.8769,84
-11.8,8.7,84
-12.4317,8.159,85
-13.2333,8.4,85
-11.7383,7.9647,85
-12.7833,8.7667,85
-11.1903,7.8769,85
-13.2333,8.4,86
-11.7383,7.9647,86
-13.2333,8.4833,86
-12.7833,8.7667,86
-11.75,9.05,86
-12.7833,8.7667,87
-12.7833,8.7667,88
-13.2333,8.4833,88
-11.75,9.05,88
-11.1903,7.8769,89
-13.2333,8.4833,89
-12.7833,8.7667,89
-11.7383,7.9647,89
-11.75,9.05,89
-10.573,8.2789,89
-12.7833,8.7667,90
-11.1903,7.8769,90
-13.2333,8.4,90
-11.75,9.05,90
-10.573,8.2789,90
-13.2333,8.4,91
-11.7181,7.3506,91
-12.4317,8.159,91
-11.5,9.3333,91
-12.7833,8.7667,91
-11.7383,7.9647,91
-13.2333,8.4833,91
-11.75,9.05,91
-11.1903,7.8769,91
-10.573,8.2789,91
-12.9182,9.125,92
-11.0224,8.7055,92
-11.8,8.7,92
-13.2333,8.4,92
-13.2333,8.4833,92
-10.573,8.2789,92
-11.75,9.05,92
-11.1903,7.8769,92
-12.7833,8.7667,92
-11.1903,7.8769,93
-13.2333,8.4,93
-11.75,9.05,93
-12.7833,8.7667,93
-11.8,8.7,93
-12.4317,8.159,94
-11.75,9.05,94
-12.7833,8.7667,94
-13.2333,8.4833,94
-11.1903,7.8769,94
-10.573,8.2789,94
-11.7383,7.9647,95
-10.573,8.2789,95
-11.1903,7.8769,95
-12.7833,8.7667,95
-13.2333,8.4833,95
-13.2333,8.4,95
-11.75,9.05,95
-13.2333,8.4833,96
-13.2333,8.4,96
-11.1903,7.8769,96
-11.7383,7.9647,96
-11.75,9.05,96
-10.573,8.2789,96
-10.573,8.2789,97
-13.2333,8.4,97
-13.2333,8.4833,97
-11.8,8.7,97
-11.1903,7.8769,97
-12.7833,8.7667,97
-11.7383,7.9647,97
-11.0224,8.7055,97
-11.0224,8.7055,98
-11.8,8.7,98
-10.573,8.2789,98
-11.7181,7.3506,98
-13.2333,8.4,98
